2024-05-28T00:04:36.167+07:00  INFO 12948 --- [http-nio-8081-exec-10] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:04:36.941+07:00  INFO 12948 --- [http-nio-8081-exec-1] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:04:39.622+07:00  INFO 12948 --- [http-nio-8081-exec-5] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:04:40.844+07:00  INFO 12948 --- [http-nio-8081-exec-4] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:04:42.478+07:00  INFO 12948 --- [http-nio-8081-exec-3] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:04:45.237+07:00  INFO 12948 --- [http-nio-8081-exec-7] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:04:47.023+07:00  INFO 12948 --- [http-nio-8081-exec-9] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:04:47.945+07:00  INFO 12948 --- [http-nio-8081-exec-5] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:04:50.747+07:00  INFO 12948 --- [http-nio-8081-exec-8] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:04:55.245+07:00  INFO 12948 --- [http-nio-8081-exec-10] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:04:55.386+07:00  INFO 12948 --- [http-nio-8081-exec-5] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:04:58.011+07:00  INFO 12948 --- [http-nio-8081-exec-7] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:05:00.751+07:00  INFO 12948 --- [http-nio-8081-exec-9] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:05:07.060+07:00  INFO 12948 --- [http-nio-8081-exec-3] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:05:13.418+07:00  INFO 12948 --- [http-nio-8081-exec-4] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:06:23.911+07:00  INFO 12948 --- [http-nio-8081-exec-8] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:06:26.150+07:00  INFO 12948 --- [http-nio-8081-exec-5] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:06:28.249+07:00  INFO 12948 --- [http-nio-8081-exec-3] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:06:28.876+07:00  INFO 12948 --- [http-nio-8081-exec-4] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:06:31.600+07:00  INFO 12948 --- [http-nio-8081-exec-7] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:06:34.198+07:00  INFO 12948 --- [http-nio-8081-exec-5] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:07:25.459+07:00  INFO 12948 --- [http-nio-8081-exec-9] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:07:26.195+07:00  INFO 12948 --- [http-nio-8081-exec-4] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:07:28.461+07:00  INFO 12948 --- [http-nio-8081-exec-5] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:07:31.231+07:00  INFO 12948 --- [http-nio-8081-exec-7] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:07:32.232+07:00  INFO 12948 --- [http-nio-8081-exec-2] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:07:44.798+07:00  INFO 12948 --- [http-nio-8081-exec-9] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:07:45.963+07:00  INFO 12948 --- [http-nio-8081-exec-5] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:07:49.107+07:00  INFO 12948 --- [http-nio-8081-exec-4] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:07:51.854+07:00  INFO 12948 --- [http-nio-8081-exec-3] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:07:53.148+07:00  INFO 12948 --- [http-nio-8081-exec-9] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:08:20.039+07:00  INFO 12948 --- [http-nio-8081-exec-8] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:08:21.597+07:00  INFO 12948 --- [http-nio-8081-exec-5] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
